anchorID, rssi, tagID, ts, packNum, acc[0], acc[1], acc[2], dir
3, 77, 0001, 1706020576.048207, 23, -0.2745862, -0.784532, 9.1397978, 0.0
5, 64, 0001, 1706020576.0365, 23, -0.2745862, -0.784532, 9.1397978, 0.0
1, 71, 0001, 1706020576.082996, 24, -0.3138128, -0.2353596, 9.80665, 0.0
6, 31, 0001, 1706020576.037891, 24, -0.3138128, -0.2353596, 9.80665, 0.0
5, 73, 0001, 1706020576.136968, 23, -0.2745862, -0.784532, 9.1397978, 0.0
2, 55, 0001, 1706020576.111939, 21, -0.3530394, -0.196133, 9.7674234, 0.0
1, 50, 0001, 1706020576.18583, 24, -0.3138128, -0.2353596, 9.80665, 0.0
2, 41, 0001, 1706020576.191333, 22, -0.4314926, -0.392266, 10.002783, 0.0
3, 66, 0001, 1706020576.251671, 24, -0.3138128, -0.2353596, 9.80665, 0.0
4, 66, 0001, 1706020576.290971, 22, -0.4314926, -0.392266, 10.002783, 0.0
5, 81, 0001, 1706020576.240078, 24, -0.3138128, -0.2353596, 9.80665, 0.0
6, 31, 0001, 1706020576.245671, 24, -0.3138128, -0.2353596, 9.80665, 0.0
5, 65, 0001, 1706020576.34005, 24, -0.3138128, -0.2353596, 9.80665, 0.0
2, 77, 0001, 1706020576.318332, 22, -0.4314926, -0.392266, 10.002783, 0.0
1, 52, 0001, 1706020576.399257, 24, -0.3138128, -0.2353596, 9.80665, 0.0
2, 57, 0001, 1706020576.400573, 22, -0.4314926, -0.392266, 10.002783, 0.0
5, 62, 0001, 1706020576.447784, 24, -0.3138128, -0.2353596, 9.80665, 0.0
1, 58, 0001, 1706020576.506278, 25, -0.5491724, -0.2745862, 9.8458766, 0.0
6, 32, 0001, 1706020576.45194, 25, -0.5491724, -0.2745862, 9.8458766, 0.0
1, 56, 0001, 1706020576.605916, 25, -0.5491724, -0.2745862, 9.8458766, 0.0
2, 49, 0001, 1706020576.598393, 23, -0.2745862, -0.784532, 9.1397978, 0.0
6, 31, 0001, 1706020576.558956, 25, -0.5491724, -0.2745862, 9.8458766, 0.0
2, 40, 0001, 1706020576.660437, 23, -0.2745862, -0.784532, 9.1397978, 0.0
1, 49, 0001, 1706020576.710939, 25, -0.5491724, -0.2745862, 9.8458766, 0.0
6, 31, 0001, 1706020576.681266, 25, -0.5491724, -0.2745862, 9.8458766, 0.0
2, 81, 0001, 1706020576.741594, 23, -0.2745862, -0.784532, 9.1397978, 0.0
3, 51, 0001, 1706020576.751333, 25, -0.5491724, -0.2745862, 9.8458766, 0.0
1, 62, 0001, 1706020576.815467, 25, -0.5491724, -0.2745862, 9.8458766, 0.0
2, 59, 0001, 1706020576.809601, 23, -0.2745862, -0.784532, 9.1397978, 0.0
