anchorID, rssi, tagID, ts, packNum, acc[0], acc[1], acc[2], dir
6, 46, 0001, 1706019379.535905, 173, 0.0784532, -0.5099458, 9.8458766, 0.0
2, 78, 0001, 1706019379.559676, 171, 0.1176798, -0.4314926, 9.7674234, 0.0
3, 52, 0001, 1706019379.482722, 172, 0.0784532, -0.4707192, 9.80665, 0.0
5, 31, 0001, 1706019379.669632, 172, 0.0784532, -0.4707192, 9.80665, 0.0
2, 43, 0001, 1706019379.620547, 171, 0.1176798, -0.4314926, 9.7674234, 0.0
6, 51, 0001, 1706019379.643759, 173, 0.0784532, -0.5099458, 9.8458766, 0.0
2, 74, 0001, 1706019379.692265, 171, 0.1176798, -0.4314926, 9.7674234, 0.0
2, 54, 0001, 1706019379.792314, 171, 0.1176798, -0.4314926, 9.7674234, 0.0
3, 39, 0001, 1706019379.678719, 173, 0.0784532, -0.5099458, 9.8458766, 0.0
5, 35, 0001, 1706019379.869202, 173, 0.0784532, -0.5099458, 9.8458766, 0.0
6, 51, 0001, 1706019379.951289, 173, 0.0784532, -0.5099458, 9.8458766, 0.0
1, 44, 0001, 1706019380.04111, 173, 0.0784532, -0.5099458, 9.8458766, 0.0
5, 46, 0001, 1706019380.069579, 173, 0.0784532, -0.5099458, 9.8458766, 0.0
4, 61, 0001, 1706019380.064014, 172, 0.0784532, -0.4707192, 9.80665, 0.0
2, 71, 0001, 1706019380.048542, 172, 0.0784532, -0.4707192, 9.80665, 0.0
6, 46, 0001, 1706019380.054378, 174, 0.1176798, -0.4707192, 9.7674234, 0.0
3, 34, 0001, 1706019379.97971, 173, 0.0784532, -0.5099458, 9.8458766, 0.0
1, 42, 0001, 1706019380.145385, 174, 0.1176798, -0.4707192, 9.7674234, 0.0
2, 70, 0001, 1706019380.156919, 172, 0.0784532, -0.4707192, 9.80665, 0.0
6, 62, 0001, 1706019380.15666, 174, 0.1176798, -0.4707192, 9.7674234, 0.0
1, 42, 0001, 1706019380.248366, 174, 0.1176798, -0.4707192, 9.7674234, 0.0
4, 64, 0001, 1706019380.266122, 172, 0.0784532, -0.4707192, 9.80665, 0.0
3, 50, 0001, 1706019380.195828, 173, 0.0784532, -0.5099458, 9.8458766, 0.0
2, 56, 0001, 1706019380.317524, 172, 0.0784532, -0.4707192, 9.80665, 0.0
4, 63, 0001, 1706019380.374016, 172, 0.0784532, -0.4707192, 9.80665, 0.0
5, 46, 0001, 1706019380.370496, 174, 0.1176798, -0.4707192, 9.7674234, 0.0
6, 45, 0001, 1706019380.366223, 174, 0.1176798, -0.4707192, 9.7674234, 0.0
5, 46, 0001, 1706019380.473181, 174, 0.1176798, -0.4707192, 9.7674234, 0.0
1, 42, 0001, 1706019380.49403, 174, 0.1176798, -0.4707192, 9.7674234, 0.0
6, 61, 0001, 1706019380.462639, 174, 0.1176798, -0.4707192, 9.7674234, 0.0
2, 69, 0001, 1706019380.476089, 172, 0.0784532, -0.4707192, 9.80665, 0.0
4, 61, 0001, 1706019380.575737, 173, 0.0784532, -0.5099458, 9.8458766, 0.0
5, 46, 0001, 1706019380.675485, 174, 0.1176798, -0.4707192, 9.7674234, 0.0
3, 58, 0001, 1706019380.576171, 174, 0.1176798, -0.4707192, 9.7674234, 0.0
1, 42, 0001, 1706019380.71388, 175, 0.1176798, -0.5099458, 9.7281968, 0.0
6, 46, 0001, 1706019380.664081, 175, 0.1176798, -0.5099458, 9.7281968, 0.0
3, 43, 0001, 1706019380.680013, 174, 0.1176798, -0.4707192, 9.7674234, 0.0
5, 47, 0001, 1706019380.777301, 174, 0.1176798, -0.4707192, 9.7674234, 0.0
6, 50, 0001, 1706019380.770419, 175, 0.1176798, -0.5099458, 9.7281968, 0.0
5, 50, 0001, 1706019380.882454, 174, 0.1176798, -0.4707192, 9.7674234, 0.0
1, 40, 0001, 1706019380.923446, 175, 0.1176798, -0.5099458, 9.7281968, 0.0
6, 46, 0001, 1706019380.87573, 175, 0.1176798, -0.5099458, 9.7281968, 0.0
5, 46, 0001, 1706019380.983464, 175, 0.1176798, -0.5099458, 9.7281968, 0.0
1, 41, 0001, 1706019381.026127, 175, 0.1176798, -0.5099458, 9.7281968, 0.0
6, 63, 0001, 1706019380.978216, 175, 0.1176798, -0.5099458, 9.7281968, 0.0
4, 60, 0001, 1706019381.08299, 173, 0.0784532, -0.5099458, 9.8458766, 0.0
1, 46, 0001, 1706019381.128928, 175, 0.1176798, -0.5099458, 9.7281968, 0.0
6, 50, 0001, 1706019381.080601, 175, 0.1176798, -0.5099458, 9.7281968, 0.0
4, 62, 0001, 1706019381.180049, 174, 0.1176798, -0.4707192, 9.7674234, 0.0
1, 40, 0001, 1706019381.236708, 175, 0.1176798, -0.5099458, 9.7281968, 0.0
1, 44, 0001, 1706019381.339616, 176, 0.1176798, -0.5099458, 9.80665, 0.0
3, 51, 0001, 1706019381.189477, 175, 0.1176798, -0.5099458, 9.7281968, 0.0
5, 46, 0001, 1706019381.28001, 175, 0.1176798, -0.5099458, 9.7281968, 0.0
2, 69, 0001, 1706019381.386043, 174, 0.1176798, -0.4707192, 9.7674234, 0.0
4, 60, 0001, 1706019381.368656, 174, 0.1176798, -0.4707192, 9.7674234, 0.0
1, 44, 0001, 1706019381.447588, 176, 0.1176798, -0.5099458, 9.80665, 0.0
4, 61, 0001, 1706019381.483333, 174, 0.1176798, -0.4707192, 9.7674234, 0.0
3, 58, 0001, 1706019381.39012, 175, 0.1176798, -0.5099458, 9.7281968, 0.0
1, 43, 0001, 1706019381.553363, 176, 0.1176798, -0.5099458, 9.80665, 0.0
2, 69, 0001, 1706019381.480045, 174, 0.1176798, -0.4707192, 9.7674234, 0.0
5, 31, 0001, 1706019381.582955, 176, 0.1176798, -0.5099458, 9.80665, 0.0
6, 67, 0001, 1706019381.500497, 176, 0.1176798, -0.5099458, 9.80665, 0.0
3, 37, 0001, 1706019381.493943, 176, 0.1176798, -0.5099458, 9.80665, 0.0
4, 61, 0001, 1706019381.597553, 174, 0.1176798, -0.4707192, 9.7674234, 0.0
6, 51, 0001, 1706019381.557538, 176, 0.1176798, -0.5099458, 9.80665, 0.0
1, 50, 0001, 1706019381.668928, 176, 0.1176798, -0.5099458, 9.80665, 0.0
5, 50, 0001, 1706019381.690111, 176, 0.1176798, -0.5099458, 9.80665, 0.0
6, 45, 0001, 1706019381.660112, 176, 0.1176798, -0.5099458, 9.80665, 0.0
2, 72, 0001, 1706019381.689797, 174, 0.1176798, -0.4707192, 9.7674234, 0.0
3, 52, 0001, 1706019381.707739, 176, 0.1176798, -0.5099458, 9.80665, 0.0
2, 70, 0001, 1706019381.786066, 174, 0.1176798, -0.4707192, 9.7674234, 0.0
5, 31, 0001, 1706019381.796442, 176, 0.1176798, -0.5099458, 9.80665, 0.0
5, 49, 0001, 1706019381.901005, 176, 0.1176798, -0.5099458, 9.80665, 0.0
3, 34, 0001, 1706019381.807461, 176, 0.1176798, -0.5099458, 9.80665, 0.0
6, 50, 0001, 1706019381.863211, 177, 0.1176798, -0.5099458, 9.80665, 0.0
1, 45, 0001, 1706019381.971161, 177, 0.1176798, -0.5099458, 9.80665, 0.0
2, 80, 0001, 1706019382.011822, 175, 0.1176798, -0.5099458, 9.7281968, 0.0
5, 45, 0001, 1706019382.00396, 176, 0.1176798, -0.5099458, 9.80665, 0.0
3, 52, 0001, 1706019382.014901, 177, 0.1176798, -0.5099458, 9.80665, 0.0
4, 46, 0001, 1706019381.997692, 175, 0.1176798, -0.5099458, 9.7281968, 0.0
