anchorID, rssi, tagID, ts, packNum, acc[0], acc[1], acc[2], dir
1, 45, 0001, 1706017371.532947, 22, 0.1569064, -0.4314926, 9.7281968, 0.0
6, 41, 0001, 1706017371.498254, 22, 0.1569064, -0.4314926, 9.7281968, 0.0
1, 38, 0001, 1706017371.636727, 22, 0.1569064, -0.4314926, 9.7281968, 0.0
6, 42, 0001, 1706017371.598376, 22, 0.1569064, -0.4314926, 9.7281968, 0.0
4, 69, 0001, 1706017371.586932, 20, 0.1176798, -0.1569064, 9.7281968, 0.0
3, 52, 0001, 1706017371.612643, 21, 0.0784532, -0.3530394, 9.7674234, 0.0
5, 52, 0001, 1706017371.563051, 21, 0.0784532, -0.3530394, 9.7674234, 0.0
1, 45, 0001, 1706017371.740403, 22, 0.1569064, -0.4314926, 9.7281968, 0.0
6, 46, 0001, 1706017371.7021, 22, 0.1569064, -0.4314926, 9.7281968, 0.0
4, 57, 0001, 1706017371.689944, 20, 0.1176798, -0.1569064, 9.7281968, 0.0
5, 46, 0001, 1706017371.663848, 22, 0.1569064, -0.4314926, 9.7281968, 0.0
2, 55, 0001, 1706017371.759287, 20, 0.1176798, -0.1569064, 9.7281968, 0.0
1, 49, 0001, 1706017371.841044, 22, 0.1569064, -0.4314926, 9.7281968, 0.0
5, 81, 0001, 1706017371.765316, 22, 0.1569064, -0.4314926, 9.7281968, 0.0
2, 51, 0001, 1706017371.885767, 20, 0.1176798, -0.1569064, 9.7281968, 0.0
3, 62, 0001, 1706017371.811921, 22, 0.1569064, -0.4314926, 9.7281968, 0.0
4, 67, 0001, 1706017371.893669, 20, 0.1176798, -0.1569064, 9.7281968, 0.0
2, 43, 0001, 1706017371.96602, 20, 0.1176798, -0.1569064, 9.7281968, 0.0
2, 54, 0001, 1706017372.016002, 20, 0.1176798, -0.1569064, 9.7281968, 0.0
1, 44, 0001, 1706017372.049625, 23, 0.196133, -0.5099458, 9.7281968, 0.0
6, 46, 0001, 1706017372.051723, 23, 0.196133, -0.5099458, 9.7281968, 0.0
4, 57, 0001, 1706017372.006908, 21, 0.0784532, -0.3530394, 9.7674234, 0.0
3, 52, 0001, 1706017372.118062, 22, 0.1569064, -0.4314926, 9.7281968, 0.0
6, 46, 0001, 1706017372.168588, 23, 0.196133, -0.5099458, 9.7281968, 0.0
2, 52, 0001, 1706017372.290484, 21, 0.0784532, -0.3530394, 9.7674234, 0.0
5, 57, 0001, 1706017372.172859, 23, 0.196133, -0.5099458, 9.7281968, 0.0
1, 44, 0001, 1706017372.286882, 23, 0.196133, -0.5099458, 9.7281968, 0.0
2, 35, 0001, 1706017372.373844, 21, 0.0784532, -0.3530394, 9.7674234, 0.0
3, 48, 0001, 1706017372.324292, 23, 0.196133, -0.5099458, 9.7281968, 0.0
6, 45, 0001, 1706017372.376808, 24, 0.2745862, -0.6668522, 9.80665, 0.0
5, 77, 0001, 1706017372.273545, 23, 0.196133, -0.5099458, 9.7281968, 0.0
2, 54, 0001, 1706017372.442268, 22, 0.1569064, -0.4314926, 9.7281968, 0.0
4, 51, 0001, 1706017372.400503, 21, 0.0784532, -0.3530394, 9.7674234, 0.0
3, 52, 0001, 1706017372.419358, 23, 0.196133, -0.5099458, 9.7281968, 0.0
2, 52, 0001, 1706017372.586036, 22, 0.1569064, -0.4314926, 9.7281968, 0.0
1, 38, 0001, 1706017372.62827, 24, 0.2745862, -0.6668522, 9.80665, 0.0
6, 43, 0001, 1706017372.593897, 24, 0.2745862, -0.6668522, 9.80665, 0.0
3, 54, 0001, 1706017372.622668, 24, 0.2745862, -0.6668522, 9.80665, 0.0
1, 44, 0001, 1706017372.733862, 24, 0.2745862, -0.6668522, 9.80665, 0.0
5, 59, 0001, 1706017372.687013, 24, 0.2745862, -0.6668522, 9.80665, 0.0
2, 40, 0001, 1706017372.772149, 22, 0.1569064, -0.4314926, 9.7281968, 0.0
1, 43, 0001, 1706017372.836825, 24, 0.2745862, -0.6668522, 9.80665, 0.0
6, 42, 0001, 1706017372.801767, 24, 0.2745862, -0.6668522, 9.80665, 0.0
3, 46, 0001, 1706017372.828687, 24, 0.2745862, -0.6668522, 9.80665, 0.0
