anchorID, rssi, tagID, ts, packNum, acc[0], acc[1], acc[2], dir
6, 45, 0001, 1706017424.56197, 129, 0.2745862, -0.4707192, 9.7281968, 0.0
1, 37, 0001, 1706017424.605345, 129, 0.2745862, -0.4707192, 9.7281968, 0.0
5, 69, 0001, 1706017424.529172, 129, 0.2745862, -0.4707192, 9.7281968, 0.0
6, 49, 0001, 1706017424.665622, 129, 0.2745862, -0.4707192, 9.7281968, 0.0
2, 51, 0001, 1706017424.837965, 127, 0.2353596, -0.4314926, 9.6497436, 0.0
3, 65, 0001, 1706017424.781807, 129, 0.2745862, -0.4707192, 9.7281968, 0.0
4, 67, 0001, 1706017424.741275, 128, 0.196133, -0.4314926, 9.7674234, 0.0
5, 77, 0001, 1706017424.732382, 129, 0.2745862, -0.4707192, 9.7281968, 0.0
1, 35, 0001, 1706017424.917222, 130, 0.2353596, -0.5491724, 9.7281968, 0.0
6, 44, 0001, 1706017424.876675, 130, 0.2353596, -0.5491724, 9.7281968, 0.0
2, 43, 0001, 1706017424.946031, 128, 0.196133, -0.4314926, 9.7674234, 0.0
3, 67, 0001, 1706017424.888866, 129, 0.2745862, -0.4707192, 9.7281968, 0.0
5, 53, 0001, 1706017424.939895, 130, 0.2353596, -0.5491724, 9.7281968, 0.0
3, 64, 0001, 1706017424.993392, 130, 0.2353596, -0.5491724, 9.7281968, 0.0
1, 47, 0001, 1706017425.122251, 130, 0.2353596, -0.5491724, 9.7281968, 0.0
6, 45, 0001, 1706017425.083455, 130, 0.2353596, -0.5491724, 9.7281968, 0.0
5, 74, 0001, 1706017425.039662, 130, 0.2353596, -0.5491724, 9.7281968, 0.0
4, 61, 0001, 1706017425.141587, 128, 0.196133, -0.4314926, 9.7674234, 0.0
1, 37, 0001, 1706017425.229497, 130, 0.2353596, -0.5491724, 9.7281968, 0.0
5, 70, 0001, 1706017425.243869, 130, 0.2353596, -0.5491724, 9.7281968, 0.0
3, 70, 0001, 1706017425.289968, 130, 0.2353596, -0.5491724, 9.7281968, 0.0
2, 52, 0001, 1706017425.434452, 129, 0.2745862, -0.4707192, 9.7281968, 0.0
4, 62, 0001, 1706017425.36799, 129, 0.2745862, -0.4707192, 9.7281968, 0.0
5, 80, 0001, 1706017425.350313, 130, 0.2353596, -0.5491724, 9.7281968, 0.0
1, 53, 0001, 1706017425.494126, 131, 0.1569064, -0.5099458, 9.9243298, 0.0
6, 46, 0001, 1706017425.451709, 131, 0.1569064, -0.5099458, 9.9243298, 0.0
5, 54, 0001, 1706017425.458579, 131, 0.1569064, -0.5099458, 9.9243298, 0.0
3, 63, 0001, 1706017425.498059, 131, 0.1569064, -0.5099458, 9.9243298, 0.0
1, 35, 0001, 1706017425.597244, 131, 0.1569064, -0.5099458, 9.9243298, 0.0
4, 59, 0001, 1706017425.560132, 129, 0.2745862, -0.4707192, 9.7281968, 0.0
6, 44, 0001, 1706017425.553558, 131, 0.1569064, -0.5099458, 9.9243298, 0.0
2, 48, 0001, 1706017425.57492, 129, 0.2745862, -0.4707192, 9.7281968, 0.0
3, 52, 0001, 1706017425.598805, 131, 0.1569064, -0.5099458, 9.9243298, 0.0
5, 75, 0001, 1706017425.561145, 131, 0.1569064, -0.5099458, 9.9243298, 0.0
6, 49, 0001, 1706017425.658516, 131, 0.1569064, -0.5099458, 9.9243298, 0.0
4, 54, 0001, 1706017425.676917, 129, 0.2745862, -0.4707192, 9.7281968, 0.0
3, 65, 0001, 1706017425.702777, 131, 0.1569064, -0.5099458, 9.9243298, 0.0
6, 46, 0001, 1706017425.761316, 132, 0.2353596, -0.5491724, 9.6497436, 0.0
1, 56, 0001, 1706017425.820566, 132, 0.2353596, -0.5491724, 9.6497436, 0.0
5, 74, 0001, 1706017425.661236, 131, 0.1569064, -0.5099458, 9.9243298, 0.0
5, 68, 0001, 1706017425.762228, 131, 0.1569064, -0.5099458, 9.9243298, 0.0
4, 52, 0001, 1706017425.793553, 130, 0.2353596, -0.5491724, 9.7281968, 0.0
3, 57, 0001, 1706017425.803582, 131, 0.1569064, -0.5099458, 9.9243298, 0.0
6, 44, 0001, 1706017425.864244, 132, 0.2353596, -0.5491724, 9.6497436, 0.0
1, 36, 0001, 1706017425.918653, 132, 0.2353596, -0.5491724, 9.6497436, 0.0
6, 49, 0001, 1706017425.96632, 132, 0.2353596, -0.5491724, 9.6497436, 0.0
5, 68, 0001, 1706017425.962217, 132, 0.2353596, -0.5491724, 9.6497436, 0.0
3, 51, 0001, 1706017426.007104, 132, 0.2353596, -0.5491724, 9.6497436, 0.0
3, 71, 0001, 1706017426.109552, 132, 0.2353596, -0.5491724, 9.6497436, 0.0
4, 71, 0001, 1706017426.085367, 130, 0.2353596, -0.5491724, 9.7281968, 0.0
1, 39, 0001, 1706017426.22796, 132, 0.2353596, -0.5491724, 9.6497436, 0.0
6, 49, 0001, 1706017426.177851, 132, 0.2353596, -0.5491724, 9.6497436, 0.0
2, 42, 0001, 1706017426.270197, 131, 0.1569064, -0.5099458, 9.9243298, 0.0
6, 47, 0001, 1706017426.285999, 133, 0.196133, -0.5099458, 9.7281968, 0.0
3, 64, 0001, 1706017426.310329, 132, 0.2353596, -0.5491724, 9.6497436, 0.0
5, 55, 0001, 1706017426.264557, 132, 0.2353596, -0.5491724, 9.6497436, 0.0
2, 58, 0001, 1706017426.429001, 131, 0.1569064, -0.5099458, 9.9243298, 0.0
6, 44, 0001, 1706017426.381985, 133, 0.196133, -0.5099458, 9.7281968, 0.0
1, 37, 0001, 1706017426.436464, 133, 0.196133, -0.5099458, 9.7281968, 0.0
3, 51, 0001, 1706017426.414151, 132, 0.2353596, -0.5491724, 9.6497436, 0.0
6, 49, 0001, 1706017426.487493, 133, 0.196133, -0.5099458, 9.7281968, 0.0
