anchorID, rssi, tagID, ts, packNum, acc[0], acc[1], acc[2], dir
3, 26, 0001, 1706018099.493692, 212, 0.196133, -0.5099458, 9.8851032, 0.0
1, 31, 0001, 1706018099.622123, 213, 0.1569064, -0.4314926, 9.610517, 0.0
2, 58, 0001, 1706018099.653715, 210, 0.2353596, -0.5491724, 9.7674234, 0.0
6, 67, 0001, 1706018099.618196, 213, 0.1569064, -0.4314926, 9.610517, 0.0
3, 43, 0001, 1706018099.596708, 212, 0.196133, -0.5099458, 9.8851032, 0.0
4, 62, 0001, 1706018099.658794, 211, 0.2353596, -0.5491724, 9.80665, 0.0
6, 52, 0001, 1706018099.71215, 213, 0.1569064, -0.4314926, 9.610517, 0.0
3, 41, 0001, 1706018099.703113, 212, 0.196133, -0.5099458, 9.8851032, 0.0
5, 47, 0001, 1706018099.644713, 212, 0.196133, -0.5099458, 9.8851032, 0.0
4, 42, 0001, 1706018099.782721, 211, 0.2353596, -0.5491724, 9.80665, 0.0
1, 38, 0001, 1706018099.829294, 213, 0.1569064, -0.4314926, 9.610517, 0.0
2, 59, 0001, 1706018099.856053, 211, 0.2353596, -0.5491724, 9.80665, 0.0
5, 67, 0001, 1706018099.748401, 213, 0.1569064, -0.4314926, 9.610517, 0.0
3, 41, 0001, 1706018099.799163, 213, 0.1569064, -0.4314926, 9.610517, 0.0
1, 40, 0001, 1706018099.937913, 213, 0.1569064, -0.4314926, 9.610517, 0.0
6, 70, 0001, 1706018099.927624, 213, 0.1569064, -0.4314926, 9.610517, 0.0
5, 49, 0001, 1706018099.848688, 213, 0.1569064, -0.4314926, 9.610517, 0.0
3, 44, 0001, 1706018099.895399, 213, 0.1569064, -0.4314926, 9.610517, 0.0
4, 51, 0001, 1706018099.985258, 211, 0.2353596, -0.5491724, 9.80665, 0.0
1, 34, 0001, 1706018100.039377, 213, 0.1569064, -0.4314926, 9.610517, 0.0
6, 53, 0001, 1706018100.02635, 213, 0.1569064, -0.4314926, 9.610517, 0.0
3, 39, 0001, 1706018100.00093, 213, 0.1569064, -0.4314926, 9.610517, 0.0
5, 47, 0001, 1706018099.955333, 213, 0.1569064, -0.4314926, 9.610517, 0.0
2, 39, 0001, 1706018100.151682, 211, 0.2353596, -0.5491724, 9.80665, 0.0
1, 31, 0001, 1706018100.144419, 214, 0.1569064, -0.5099458, 9.7674234, 0.0
6, 60, 0001, 1706018100.140404, 214, 0.1569064, -0.5099458, 9.7674234, 0.0
3, 44, 0001, 1706018100.103907, 213, 0.1569064, -0.4314926, 9.610517, 0.0
5, 77, 0001, 1706018100.058371, 213, 0.1569064, -0.4314926, 9.610517, 0.0
2, 60, 0001, 1706018100.266032, 212, 0.196133, -0.5099458, 9.8851032, 0.0
1, 33, 0001, 1706018100.245591, 214, 0.1569064, -0.5099458, 9.7674234, 0.0
5, 49, 0001, 1706018100.154093, 213, 0.1569064, -0.4314926, 9.610517, 0.0
3, 41, 0001, 1706018100.200766, 213, 0.1569064, -0.4314926, 9.610517, 0.0
6, 52, 0001, 1706018100.292768, 214, 0.1569064, -0.5099458, 9.7674234, 0.0
1, 37, 0001, 1706018100.345943, 214, 0.1569064, -0.5099458, 9.7674234, 0.0
3, 41, 0001, 1706018100.301, 214, 0.1569064, -0.5099458, 9.7674234, 0.0
5, 65, 0001, 1706018100.257859, 214, 0.1569064, -0.5099458, 9.7674234, 0.0
