anchorID, rssi, tagID, ts, packNum, acc[0], acc[1], acc[2], dir
2, 50, 0001, 1706018409.301203, 68, 0.1176798, -0.6668522, 9.7281968, 0.0
6, 56, 0001, 1706018409.322485, 71, 0.1176798, -0.588399, 9.7674234, 0.0
1, 46, 0001, 1706018409.347556, 71, 0.1176798, -0.588399, 9.7674234, 0.0
4, 46, 0001, 1706018409.314531, 68, 0.1176798, -0.6668522, 9.7281968, 0.0
3, 39, 0001, 1706018409.303198, 70, 0.0784532, -0.6276256, 9.7281968, 0.0
6, 54, 0001, 1706018409.42852, 71, 0.1176798, -0.588399, 9.7674234, 0.0
1, 50, 0001, 1706018409.454093, 71, 0.1176798, -0.588399, 9.7674234, 0.0
3, 54, 0001, 1706018409.409097, 70, 0.0784532, -0.6276256, 9.7281968, 0.0
2, 50, 0001, 1706018409.505145, 68, 0.1176798, -0.6668522, 9.7281968, 0.0
4, 50, 0001, 1706018409.534632, 69, 0.0784532, -0.588399, 9.6497436, 0.0
5, 41, 0001, 1706018409.52599, 71, 0.1176798, -0.588399, 9.7674234, 0.0
1, 47, 0001, 1706018409.559989, 71, 0.1176798, -0.588399, 9.7674234, 0.0
3, 52, 0001, 1706018409.51194, 71, 0.1176798, -0.588399, 9.7674234, 0.0
4, 48, 0001, 1706018409.642637, 69, 0.0784532, -0.588399, 9.6497436, 0.0
1, 45, 0001, 1706018409.670357, 71, 0.1176798, -0.588399, 9.7674234, 0.0
3, 54, 0001, 1706018409.615964, 71, 0.1176798, -0.588399, 9.7674234, 0.0
1, 41, 0001, 1706018409.722248, 71, 0.1176798, -0.588399, 9.7674234, 0.0
6, 49, 0001, 1706018409.742303, 71, 0.1176798, -0.588399, 9.7674234, 0.0
5, 54, 0001, 1706018409.737947, 71, 0.1176798, -0.588399, 9.7674234, 0.0
2, 68, 0001, 1706018409.784865, 69, 0.0784532, -0.588399, 9.6497436, 0.0
6, 52, 0001, 1706018409.847286, 72, 0.1176798, -0.6276256, 9.7281968, 0.0
5, 63, 0001, 1706018409.843082, 71, 0.1176798, -0.588399, 9.7674234, 0.0
2, 61, 0001, 1706018409.893017, 69, 0.0784532, -0.588399, 9.6497436, 0.0
3, 54, 0001, 1706018409.821395, 71, 0.1176798, -0.588399, 9.7674234, 0.0
2, 70, 0001, 1706018409.989469, 69, 0.0784532, -0.588399, 9.6497436, 0.0
3, 44, 0001, 1706018409.920464, 71, 0.1176798, -0.588399, 9.7674234, 0.0
