anchorID, rssi, tagID, ts, packNum, acc[0], acc[1], acc[2], dir
1, 45, 0001, 1706016674.846647, 40, 0.1569064, -0.5099458, 9.7281968, 0.0
2, 43, 0001, 1706016674.738523, 38, 0.1569064, -0.5099458, 9.7281968, 0.0
5, 54, 0001, 1706016674.788616, 39, 0.196133, -0.5099458, 9.7281968, 0.0
3, 65, 0001, 1706016674.835425, 39, 0.196133, -0.5099458, 9.7281968, 0.0
1, 46, 0001, 1706016674.952554, 40, 0.1569064, -0.5099458, 9.7281968, 0.0
3, 71, 0001, 1706016674.941277, 39, 0.196133, -0.5099458, 9.7281968, 0.0
5, 82, 0001, 1706016674.893374, 39, 0.196133, -0.5099458, 9.7281968, 0.0
2, 60, 0001, 1706016674.956079, 38, 0.1569064, -0.5099458, 9.7281968, 0.0
1, 43, 0001, 1706016675.058887, 40, 0.1569064, -0.5099458, 9.7281968, 0.0
5, 57, 0001, 1706016674.99778, 40, 0.1569064, -0.5099458, 9.7281968, 0.0
3, 66, 0001, 1706016675.04834, 40, 0.1569064, -0.5099458, 9.7281968, 0.0
4, 58, 0001, 1706016675.057607, 38, 0.1569064, -0.5099458, 9.7281968, 0.0
6, 38, 0001, 1706016675.204873, 40, 0.1569064, -0.5099458, 9.7281968, 0.0
1, 47, 0001, 1706016675.161271, 40, 0.1569064, -0.5099458, 9.7281968, 0.0
5, 85, 0001, 1706016675.101365, 40, 0.1569064, -0.5099458, 9.7281968, 0.0
4, 67, 0001, 1706016675.178519, 38, 0.1569064, -0.5099458, 9.7281968, 0.0
6, 34, 0001, 1706016675.309406, 40, 0.1569064, -0.5099458, 9.7281968, 0.0
1, 47, 0001, 1706016675.264842, 40, 0.1569064, -0.5099458, 9.7281968, 0.0
5, 73, 0001, 1706016675.205426, 40, 0.1569064, -0.5099458, 9.7281968, 0.0
6, 13, 0001, 1706016675.412357, 40, 0.1569064, -0.5099458, 9.7281968, 0.0
3, 74, 0001, 1706016675.253788, 40, 0.1569064, -0.5099458, 9.7281968, 0.0
1, 42, 0001, 1706016675.36698, 40, 0.1569064, -0.5099458, 9.7281968, 0.0
