anchorID, rssi, tagID, ts, packNum, acc[0], acc[1], acc[2], dir
6, 28, 0001, 1706016616.125987, 193, 0.1569064, -0.5099458, 9.9635564, 0.0
5, 67, 0001, 1706016616.038521, 192, 0.1569064, -0.4707192, 9.7281968, 0.0
3, 65, 0001, 1706016616.091183, 192, 0.1569064, -0.4707192, 9.7281968, 0.0
2, 47, 0001, 1706016616.026071, 191, 0.1569064, -0.4707192, 9.8458766, 0.0
6, 32, 0001, 1706016616.230024, 193, 0.1569064, -0.5099458, 9.9635564, 0.0
2, 62, 0001, 1706016616.144794, 191, 0.1569064, -0.4707192, 9.8458766, 0.0
1, 53, 0001, 1706016616.20921, 193, 0.1569064, -0.5099458, 9.9635564, 0.0
5, 74, 0001, 1706016616.142891, 193, 0.1569064, -0.5099458, 9.9635564, 0.0
3, 67, 0001, 1706016616.193618, 193, 0.1569064, -0.5099458, 9.9635564, 0.0
4, 60, 0001, 1706016616.113906, 191, 0.1569064, -0.4707192, 9.8458766, 0.0
4, 50, 0001, 1706016616.225331, 191, 0.1569064, -0.4707192, 9.8458766, 0.0
6, 28, 0001, 1706016616.342518, 193, 0.1569064, -0.5099458, 9.9635564, 0.0
1, 46, 0001, 1706016616.319738, 193, 0.1569064, -0.5099458, 9.9635564, 0.0
4, 59, 0001, 1706016616.322414, 191, 0.1569064, -0.4707192, 9.8458766, 0.0
3, 65, 0001, 1706016616.298376, 193, 0.1569064, -0.5099458, 9.9635564, 0.0
2, 71, 0001, 1706016616.295972, 191, 0.1569064, -0.4707192, 9.8458766, 0.0
6, 28, 0001, 1706016616.444194, 193, 0.1569064, -0.5099458, 9.9635564, 0.0
3, 64, 0001, 1706016616.399073, 193, 0.1569064, -0.5099458, 9.9635564, 0.0
2, 62, 0001, 1706016616.427409, 192, 0.1569064, -0.4707192, 9.7281968, 0.0
1, 46, 0001, 1706016616.48291, 194, 0.1569064, -0.5491724, 9.5320638, 0.0
4, 49, 0001, 1706016616.524387, 192, 0.1569064, -0.4707192, 9.7281968, 0.0
5, 75, 0001, 1706016616.551387, 193, 0.1569064, -0.5099458, 9.9635564, 0.0
3, 66, 0001, 1706016616.498632, 193, 0.1569064, -0.5099458, 9.9635564, 0.0
2, 60, 0001, 1706016616.547232, 192, 0.1569064, -0.4707192, 9.7281968, 0.0
6, 31, 0001, 1706016616.765432, 194, 0.1569064, -0.5491724, 9.5320638, 0.0
4, 72, 0001, 1706016616.701565, 192, 0.1569064, -0.4707192, 9.7281968, 0.0
1, 59, 0001, 1706016616.795764, 194, 0.1569064, -0.5491724, 9.5320638, 0.0
6, 32, 0001, 1706016616.866365, 194, 0.1569064, -0.5491724, 9.5320638, 0.0
6, 31, 0001, 1706016616.97141, 194, 0.1569064, -0.5491724, 9.5320638, 0.0
6, 31, 0001, 1706016617.074753, 195, 0.1569064, -0.5099458, 9.6889702, 0.0
3, 65, 0001, 1706016617.005195, 194, 0.1569064, -0.5491724, 9.5320638, 0.0
5, 68, 0001, 1706016616.961365, 194, 0.1569064, -0.5491724, 9.5320638, 0.0
5, 72, 0001, 1706016617.064888, 194, 0.1569064, -0.5491724, 9.5320638, 0.0
2, 62, 0001, 1706016617.097465, 192, 0.1569064, -0.4707192, 9.7281968, 0.0
1, 45, 0001, 1706016617.215179, 195, 0.1569064, -0.5099458, 9.6889702, 0.0
6, 12, 0001, 1706016617.282627, 195, 0.1569064, -0.5099458, 9.6889702, 0.0
2, 62, 0001, 1706016617.194344, 193, 0.1569064, -0.5099458, 9.9635564, 0.0
4, 58, 0001, 1706016617.280606, 193, 0.1569064, -0.5099458, 9.9635564, 0.0
2, 57, 0001, 1706016617.324547, 193, 0.1569064, -0.5099458, 9.9635564, 0.0
5, 62, 0001, 1706016617.365961, 195, 0.1569064, -0.5099458, 9.6889702, 0.0
1, 48, 0001, 1706016617.525079, 195, 0.1569064, -0.5099458, 9.6889702, 0.0
4, 58, 0001, 1706016617.492442, 194, 0.1569064, -0.5491724, 9.5320638, 0.0
6, 12, 0001, 1706016617.586257, 195, 0.1569064, -0.5099458, 9.6889702, 0.0
5, 67, 0001, 1706016617.473028, 195, 0.1569064, -0.5099458, 9.6889702, 0.0
3, 52, 0001, 1706016617.518744, 195, 0.1569064, -0.5099458, 9.6889702, 0.0
2, 74, 0001, 1706016617.529019, 193, 0.1569064, -0.5099458, 9.9635564, 0.0
1, 59, 0001, 1706016617.630653, 196, 0.1569064, -0.5099458, 9.7281968, 0.0
6, 21, 0001, 1706016617.69024, 196, 0.1569064, -0.5099458, 9.7281968, 0.0
3, 48, 0001, 1706016617.627497, 195, 0.1569064, -0.5099458, 9.6889702, 0.0
2, 53, 0001, 1706016617.66126, 193, 0.1569064, -0.5099458, 9.9635564, 0.0
4, 58, 0001, 1706016617.706213, 194, 0.1569064, -0.5491724, 9.5320638, 0.0
6, 32, 0001, 1706016617.797106, 196, 0.1569064, -0.5099458, 9.7281968, 0.0
3, 68, 0001, 1706016617.729205, 195, 0.1569064, -0.5099458, 9.6889702, 0.0
5, 69, 0001, 1706016617.675424, 195, 0.1569064, -0.5099458, 9.6889702, 0.0
1, 56, 0001, 1706016617.844669, 196, 0.1569064, -0.5099458, 9.7281968, 0.0
6, 34, 0001, 1706016617.903563, 196, 0.1569064, -0.5099458, 9.7281968, 0.0
3, 67, 0001, 1706016617.830078, 196, 0.1569064, -0.5099458, 9.7281968, 0.0
5, 67, 0001, 1706016617.77584, 196, 0.1569064, -0.5099458, 9.7281968, 0.0
2, 53, 0001, 1706016617.846181, 194, 0.1569064, -0.5491724, 9.5320638, 0.0
5, 74, 0001, 1706016617.879239, 196, 0.1569064, -0.5099458, 9.7281968, 0.0
6, 35, 0001, 1706016618.007268, 196, 0.1569064, -0.5099458, 9.7281968, 0.0
4, 59, 0001, 1706016618.009677, 195, 0.1569064, -0.5099458, 9.6889702, 0.0
6, 31, 0001, 1706016618.112401, 196, 0.1569064, -0.5099458, 9.7281968, 0.0
1, 48, 0001, 1706016618.052283, 196, 0.1569064, -0.5099458, 9.7281968, 0.0
2, 83, 0001, 1706016617.940448, 194, 0.1569064, -0.5491724, 9.5320638, 0.0
3, 65, 0001, 1706016618.044064, 196, 0.1569064, -0.5099458, 9.7281968, 0.0
1, 56, 0001, 1706016618.152756, 196, 0.1569064, -0.5099458, 9.7281968, 0.0
6, 32, 0001, 1706016618.211865, 196, 0.1569064, -0.5099458, 9.7281968, 0.0
5, 75, 0001, 1706016618.079986, 196, 0.1569064, -0.5099458, 9.7281968, 0.0
1, 59, 0001, 1706016618.254433, 197, 0.1176798, -0.4707192, 9.7281968, 0.0
2, 76, 0001, 1706016618.209186, 195, 0.1569064, -0.5099458, 9.6889702, 0.0
6, 35, 0001, 1706016618.342084, 197, 0.1176798, -0.4707192, 9.7281968, 0.0
5, 68, 0001, 1706016618.285441, 196, 0.1569064, -0.5099458, 9.7281968, 0.0
3, 65, 0001, 1706016618.336595, 196, 0.1569064, -0.5099458, 9.7281968, 0.0
6, 34, 0001, 1706016618.473827, 197, 0.1176798, -0.4707192, 9.7281968, 0.0
2, 46, 0001, 1706016618.300201, 195, 0.1569064, -0.5099458, 9.6889702, 0.0
1, 60, 0001, 1706016618.474206, 197, 0.1176798, -0.4707192, 9.7281968, 0.0
5, 67, 0001, 1706016618.384024, 197, 0.1176798, -0.4707192, 9.7281968, 0.0
3, 49, 0001, 1706016618.435137, 197, 0.1176798, -0.4707192, 9.7281968, 0.0
1, 45, 0001, 1706016618.524453, 197, 0.1176798, -0.4707192, 9.7281968, 0.0
4, 54, 0001, 1706016618.50016, 195, 0.1569064, -0.5099458, 9.6889702, 0.0
6, 11, 0001, 1706016618.581877, 197, 0.1176798, -0.4707192, 9.7281968, 0.0
6, 34, 0001, 1706016618.684722, 197, 0.1176798, -0.4707192, 9.7281968, 0.0
2, 47, 0001, 1706016618.589313, 195, 0.1569064, -0.5099458, 9.6889702, 0.0
3, 62, 0001, 1706016618.642098, 197, 0.1176798, -0.4707192, 9.7281968, 0.0
1, 69, 0001, 1706016618.735047, 198, 0.1176798, -0.4707192, 9.6497436, 0.0
6, 32, 0001, 1706016618.789917, 198, 0.1176798, -0.4707192, 9.6497436, 0.0
2, 46, 0001, 1706016618.686038, 195, 0.1569064, -0.5099458, 9.6889702, 0.0
5, 70, 0001, 1706016618.68695, 197, 0.1176798, -0.4707192, 9.7281968, 0.0
3, 68, 0001, 1706016618.745404, 197, 0.1176798, -0.4707192, 9.7281968, 0.0
6, 31, 0001, 1706016618.893649, 198, 0.1176798, -0.4707192, 9.6497436, 0.0
3, 63, 0001, 1706016618.847001, 197, 0.1176798, -0.4707192, 9.7281968, 0.0
5, 67, 0001, 1706016618.789712, 197, 0.1176798, -0.4707192, 9.7281968, 0.0
1, 55, 0001, 1706016618.944262, 198, 0.1176798, -0.4707192, 9.6497436, 0.0
6, 31, 0001, 1706016618.999859, 198, 0.1176798, -0.4707192, 9.6497436, 0.0
5, 77, 0001, 1706016618.900683, 198, 0.1176798, -0.4707192, 9.6497436, 0.0
3, 52, 0001, 1706016618.950728, 198, 0.1176798, -0.4707192, 9.6497436, 0.0
1, 48, 0001, 1706016619.052198, 198, 0.1176798, -0.4707192, 9.6497436, 0.0
6, 31, 0001, 1706016619.106466, 198, 0.1176798, -0.4707192, 9.6497436, 0.0
3, 50, 0001, 1706016619.04806, 198, 0.1176798, -0.4707192, 9.6497436, 0.0
2, 64, 0001, 1706016619.112632, 196, 0.1569064, -0.5099458, 9.7281968, 0.0
5, 69, 0001, 1706016619.099674, 198, 0.1176798, -0.4707192, 9.6497436, 0.0
6, 34, 0001, 1706016619.213328, 198, 0.1176798, -0.4707192, 9.6497436, 0.0
4, 55, 0001, 1706016619.188023, 197, 0.1176798, -0.4707192, 9.7281968, 0.0
1, 47, 0001, 1706016619.264522, 199, 0.1569064, -0.4707192, 9.7674234, 0.0
6, 31, 0001, 1706016619.318351, 199, 0.1569064, -0.4707192, 9.7674234, 0.0
3, 47, 0001, 1706016619.156924, 198, 0.1176798, -0.4707192, 9.6497436, 0.0
2, 47, 0001, 1706016619.185835, 196, 0.1569064, -0.5099458, 9.7281968, 0.0
2, 52, 0001, 1706016619.257587, 197, 0.1176798, -0.4707192, 9.7281968, 0.0
6, 34, 0001, 1706016619.421235, 199, 0.1569064, -0.4707192, 9.7674234, 0.0
2, 74, 0001, 1706016619.349825, 197, 0.1176798, -0.4707192, 9.7281968, 0.0
4, 77, 0001, 1706016619.401702, 197, 0.1176798, -0.4707192, 9.7281968, 0.0
3, 65, 0001, 1706016619.26636, 198, 0.1176798, -0.4707192, 9.6497436, 0.0
3, 64, 0001, 1706016619.371692, 198, 0.1176798, -0.4707192, 9.6497436, 0.0
5, 77, 0001, 1706016619.205324, 198, 0.1176798, -0.4707192, 9.6497436, 0.0
6, 31, 0001, 1706016619.523609, 199, 0.1569064, -0.4707192, 9.7674234, 0.0
3, 53, 0001, 1706016619.479846, 199, 0.1569064, -0.4707192, 9.7674234, 0.0
1, 57, 0001, 1706016619.575711, 199, 0.1569064, -0.4707192, 9.7674234, 0.0
2, 74, 0001, 1706016619.505239, 197, 0.1176798, -0.4707192, 9.7281968, 0.0
2, 61, 0001, 1706016619.619541, 198, 0.1176798, -0.4707192, 9.6497436, 0.0
5, 77, 0001, 1706016619.615936, 199, 0.1569064, -0.4707192, 9.7674234, 0.0
3, 53, 0001, 1706016619.683482, 199, 0.1569064, -0.4707192, 9.7674234, 0.0
1, 53, 0001, 1706016619.785037, 199, 0.1569064, -0.4707192, 9.7674234, 0.0
6, 34, 0001, 1706016619.838656, 199, 0.1569064, -0.4707192, 9.7674234, 0.0
2, 69, 0001, 1706016619.690455, 198, 0.1176798, -0.4707192, 9.6497436, 0.0
5, 66, 0001, 1706016619.724662, 199, 0.1569064, -0.4707192, 9.7674234, 0.0
1, 56, 0001, 1706016619.886165, 200, 0.196133, -0.5099458, 9.80665, 0.0
2, 51, 0001, 1706016619.813447, 198, 0.1176798, -0.4707192, 9.6497436, 0.0
3, 62, 0001, 1706016619.882602, 199, 0.1569064, -0.4707192, 9.7674234, 0.0
5, 64, 0001, 1706016619.824666, 199, 0.1569064, -0.4707192, 9.7674234, 0.0
4, 70, 0001, 1706016619.923289, 198, 0.1176798, -0.4707192, 9.6497436, 0.0
2, 71, 0001, 1706016619.903139, 198, 0.1176798, -0.4707192, 9.6497436, 0.0
1, 53, 0001, 1706016619.991365, 200, 0.196133, -0.5099458, 9.80665, 0.0
3, 58, 0001, 1706016619.986412, 199, 0.1569064, -0.4707192, 9.7674234, 0.0
6, 11, 0001, 1706016620.144619, 200, 0.196133, -0.5099458, 9.80665, 0.0
2, 61, 0001, 1706016620.042697, 198, 0.1176798, -0.4707192, 9.6497436, 0.0
3, 52, 0001, 1706016620.085007, 200, 0.196133, -0.5099458, 9.80665, 0.0
4, 68, 0001, 1706016620.14922, 198, 0.1176798, -0.4707192, 9.6497436, 0.0
6, 34, 0001, 1706016620.246447, 200, 0.196133, -0.5099458, 9.80665, 0.0
1, 54, 0001, 1706016620.194875, 200, 0.196133, -0.5099458, 9.80665, 0.0
